Date,True,Predict
2022-09-13,0.8595041,0.8143204
2022-09-14,0.8677686,0.8055023
2022-09-15,0.8677686,0.7994055
2022-09-16,0.8512397,0.8099472
2022-09-19,0.8264463,0.8084615
2022-09-20,0.8181818,0.8135044
2022-09-21,0.7933884,0.8052404
2022-09-22,0.78512394,0.79370826
2022-09-23,0.78512394,0.77918
2022-09-26,0.7768595,0.76578313
2022-09-27,0.70247936,0.7500807
2022-09-28,0.7107438,0.7308206
2022-09-29,0.76033056,0.7162552
2022-09-30,0.6694215,0.69790286
2022-10-04,0.6528926,0.67862815
2022-10-05,0.78512394,0.6576748
2022-10-06,0.40495867,0.66288847
2022-10-07,0.6198347,0.6231371
2022-10-11,0.61157024,0.57845867
2022-10-12,0.38016528,0.55319476
2022-10-13,0.61157024,0.50523794
2022-10-14,0.29752067,0.45152998
2022-10-17,0.28099173,0.45405442
2022-10-18,0.47933885,0.38819283
2022-10-19,0.25619835,0.34261104
2022-10-20,0.3305785,0.3347615
2022-10-21,0.4214876,0.27673393
2022-10-24,0.25619835,0.30885327
2022-10-25,0.42975205,0.31030875
2022-10-26,0.45454547,0.30553383
2022-10-27,0.5041322,0.32688886
2022-10-28,0.40495867,0.34589967
2022-10-31,0.3966942,0.34714693
2022-11-01,0.4214876,0.3688569
2022-11-02,0.21487603,0.3654126
2022-11-03,0.45454547,0.33817714
2022-11-04,0.1983471,0.30594712
2022-11-07,0.17355372,0.26116455
2022-11-08,0.19008264,0.22625262
2022-11-09,0.17355372,0.19321859
2022-11-10,0.16528925,0.19339065
2022-11-11,0.09917355,0.16972998
2022-11-14,0.27272728,0.17056979
2022-11-15,0.12396694,0.17720477
2022-11-16,0.14876033,0.17815135
2022-11-17,0.12396694,0.1797669
2022-11-18,0.14876033,0.17778356
2022-11-21,0.049586777,0.18374455
2022-11-22,0.14049587,0.17280824
2022-11-23,0.1983471,0.16970769
2022-11-24,0.09090909,0.17121193
2022-11-25,0.024793388,0.17030567
2022-11-28,0.1322314,0.16837792
2022-11-29,0.09917355,0.17150275
2022-11-30,0.14876033,0.16871081
2022-12-01,0.1322314,0.1675715
2022-12-02,0.1322314,0.17269519
2022-12-05,0.61157024,0.18679212
2022-12-06,0.08264463,0.2225628
2022-12-07,0.17355372,0.23828211
2022-12-08,0.14049587,0.24480593
2022-12-09,0.36363637,0.23520924
2022-12-12,0.09917355,0.2504101
2022-12-13,0.16528925,0.21428177
2022-12-14,0.0661157,0.21557301
2022-12-15,0.338843,0.21428493
2022-12-16,0.45454547,0.23623583
2022-12-19,0.34710744,0.23880912
2022-12-20,0.16528925,0.30151147
2022-12-21,0.016528925,0.30297595
2022-12-22,0.09090909,0.2931257
2022-12-23,0.1570248,0.24914227
2022-12-26,0.12396694,0.2043334
2022-12-27,0.16528925,0.18698063
2022-12-28,0.1322314,0.1836921
2022-12-29,0.07438017,0.18803123
2022-12-30,0.1570248,0.18628386
2023-01-02,0.21487603,0.18961711
2023-01-03,0.21487603,0.20537487
2023-01-04,0.40495867,0.2057783
2023-01-05,0.3553719,0.23040023
2023-01-06,0.0661157,0.25457102
2023-01-09,0.09917355,0.25457513
2023-01-10,0.09917355,0.25443083
2023-01-11,0.21487603,0.24523863
2023-01-12,0.24793388,0.21880768
2023-01-13,0.21487603,0.20467237
2023-01-16,0.37190083,0.22982088
2023-01-17,0.0,0.25004053
2023-01-18,0.32231405,0.26078695
2023-01-19,0.17355372,0.2546747
2023-01-20,0.25619835,0.24531619
2023-01-25,0.24793388,0.24429952
2023-01-26,0.30578512,0.22994731
2023-01-27,0.2644628,0.25547153
2023-01-30,0.36363637,0.26761228
2023-01-31,0.23966943,0.30273747
2023-02-01,0.14876033,0.2979777
2023-02-02,0.36363637,0.2867813
2023-02-03,0.36363637,0.28054997
2023-02-06,0.37190083,0.2771507
2023-02-07,0.2644628,0.27518153
2023-02-08,0.3140496,0.2954067
2023-02-09,0.23140496,0.30498335
2023-02-10,0.38016528,0.28817466
2023-02-13,0.3966942,0.27464995
2023-02-14,0.29752067,0.27158916
2023-02-15,0.32231405,0.2801193
2023-02-16,0.1983471,0.2840352
2023-02-17,0.18181819,0.28091946
2023-02-20,0.32231405,0.25865608
2023-02-21,0.27272728,0.24524584
2023-02-22,0.1983471,0.24055439
2023-02-23,0.21487603,0.22382972
2023-02-24,0.1322314,0.22547296
2023-02-27,0.23140496,0.22298943
2023-02-28,0.25619835,0.21300007
2023-03-02,0.17355372,0.20662454
2023-03-03,0.23966943,0.20480941
2023-03-06,0.28099173,0.20314068
2023-03-07,0.30578512,0.21339677
2023-03-08,0.37190083,0.21669088
